countries_and_territories,max_confirmed_cases,max_percent_pop_sick,Total_cases,Total_deaths,deaths_to_confirmed_ratio
United_States_of_America,16256754,4.9402878156105592,1389778699,40562954,2.918662807912269
Brazil,6901952,3.2702998010623276,759161131,23680857,3.1193452921919942
India,9884100,0.72335857438901718,902406876,14534111,1.6105939999508605
Mexico,1250044,0.97984622113540287,131663388,12851537,9.760904071525184
United_Kingdom,1849403,2.77491843907655,134210656,10208220,7.6061173562850328
Italy,1843712,3.0545491511814884,115594575,9324255,8.0663430788166313
France,2376852,3.546858295889165,152702639,8167016,5.3483135939779016
Spain,1730575,3.6870119261837022,153764197,7804893,5.0758844726383217
Iran,1108269,1.3366505417855608,96759456,5248825,5.42461193663594
Peru,984973,3.029710866612723,127181509,4994065,3.9267225552418945
Russia,2653928,1.8193507113689746,243313187,4048191,1.663777886399556
Colombia,1425774,2.8323197775549485,127656613,3846149,3.0128866101123957
Argentina,1498160,3.3455502848047733,119706032,3035449,2.5357527513734648
Belgium,608001,5.3074941432160339,44007274,2622489,5.9592171057902839
South_Africa,860964,1.470268920355857,105637126,2507145,2.3733559354880596
Germany,1337078,1.6105645328148315,88266889,2419564,2.7411909804592751
Chile,571919,3.0177181500561812,81039767,2113124,2.60751490067833
Canada,460743,1.231569677377035,38261748,2082941,5.4439253533320011
Ecuador,202110,1.163312939814571,24488445,1816324,7.41706547720772
Indonesia,617820,0.22829328612547534,48294649,1781242,3.6882802481906429
Turkey,995471,1.2139315550939405,70056324,1725466,2.4629696528182095
Netherlands,612746,3.5455399882526279,37584909,1614876,4.2966074495484348
Iraq,574634,1.4618089148227176,54060064,1394022,2.5786539949342271
Sweden,320098,3.1289561234718626,23469292,1334033,5.6841638000839563
China,92021,0.0064180531912480425,26761489,1332323,4.9785084828426394
Pakistan,440787,0.20353536111232437,58397907,1207921,2.0684320073320435
Bolivia,147150,1.2781090621797671,19884522,1073302,5.3976756393741825
Egypt,121575,0.12110502048071925,18692723,1007208,5.3882358391551621
Romania,556335,2.8655705969231797,31038274,983295,3.1680079891040331
Poland,1135676,2.9907608633250549,47825748,955751,1.9984026177698258
Ukraine,900666,2.0472639649323878,47473826,899556,1.8948462253705864
Philippines,449400,0.41566226514180216,45190145,886078,1.9607770676549057
Bangladesh,490533,0.30085526754436609,59743098,836668,1.4004429432166372
Saudi_Arabia,359888,1.0501997328219137,58325657,759042,1.3013861121187198
Switzerland,372329,4.3575144651073137,21381081,505571,2.3645717445249845
Guatemala,129282,0.73533075380019286,14100772,503013,3.5672727705972416
Portugal,348744,3.393568136284538,21670815,502226,2.3175224374348633
Ireland,76185,1.5534517070942693,8981798,421569,4.693592530137062
Morocco,399609,1.0956667138081551,24135189,412325,1.7083976429602439
Czechia,581079,5.4562433097335159,29416865,411015,1.3972087100375923
Panama,193007,4.5451484066653478,18829301,385081,2.0451157480567121
Honduras,114359,1.1733803674592389,12295730,357785,2.9098312991583257
Dominican_Republic,154692,1.4404750852433807,18240350,337067,1.847919584876387
Algeria,92102,0.21392675186294566,8850347,329396,3.7218427706845842
Hungary,283870,2.904707740580037,10332895,308091,2.9816522862179475
Japan,179653,0.14161483254899154,14695609,305760,2.0806214972104931
Kazakhstan,186277,1.0041113816143965,22328874,292628,1.3105363038010784
Israel,357859,4.2005321283620285,34509332,277432,0.80393326651469232
Afghanistan,49273,0.12952346023344821,7586864,259531,3.4207941515756706
Austria,320036,3.6126439603669804,15960586,253532,1.588488041729796
Moldova,126518,3.1291102373383048,9816281,244797,2.4937855792840486
Bulgaria,179449,2.5635428602612071,7609396,224943,2.9561216159600576
Armenia,148682,5.02689902519772,11881607,202464,1.7040119236396221
Nigeria,73175,0.036412066119256431,9783139,190447,1.9466860278689693
Kyrgyzstan,77674,1.2106577911488281,8008073,182842,2.2832209446642158
Bosnia_and_Herzegovina,101117,3.0632251216147361,6120490,182529,2.9822612241830311
Ethiopia,116769,0.104184802170353,10655671,166611,1.56358994191919
Sudan,21386,0.049951840829040792,2550090,163313,6.4042053417722506
Denmark,109758,1.8903973265271359,6681756,157089,2.3510137155562103
Serbia,266432,3.8259768711288897,10354513,156377,1.5102303700811424
North_Macedonia,73638,3.5451767148163915,4389756,151844,3.4590533050128527
Tunisia,111361,0.95223306310599465,5419391,148614,2.7422638447751786
Belarus,160295,1.6958110890038718,17222718,148365,0.86144939492128947
Oman,126240,2.5374915175742996,16753010,147620,0.88115508795135922
Costa_Rica,150947,2.9904938246412476,11612775,137569,1.1846350247895099
Paraguay,93582,1.3284144155577029,6361355,131621,2.0690717622267583
El_Salvador,41880,0.64894515421744614,4615447,131031,2.83896662663443
