countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019
Czechia,2019-12-31,0,0,0,0,10649800
Germany,2019-12-31,0,0,0,0,83019213
Croatia,2019-12-31,0,0,0,0,4076246
Poland,2020-04-03,392,14,2946,57,37972812
Poland,2020-04-04,437,14,3383,71,37972812
Poland,2020-04-06,475,15,4102,94,37972812
Poland,2020-04-08,435,22,4848,129,37972812
Poland,2020-04-09,357,30,5205,159,37972812
Poland,2020-04-10,370,15,5575,174,37972812
Poland,2020-04-12,401,27,6356,208,37972812
Poland,2020-04-13,318,24,6674,232,37972812
Poland,2020-04-15,268,18,7202,263,37972812
Poland,2020-04-16,380,23,7582,286,37972812
Poland,2020-04-17,336,28,7918,314,37972812
Poland,2020-04-18,461,18,8379,332,37972812
Poland,2020-04-19,363,15,8742,347,37972812
Poland,2020-04-21,306,20,9593,380,37972812
Poland,2020-04-22,263,21,9856,401,37972812
Poland,2020-04-23,313,25,10169,426,37972812
Poland,2020-04-24,342,28,10511,454,37972812
Poland,2020-04-25,381,40,10892,494,37972812
Poland,2020-04-26,381,30,11273,524,37972812
Poland,2020-04-28,285,27,11902,562,37972812
Poland,2020-04-29,316,34,12218,596,37972812
Poland,2020-04-30,422,28,12640,624,37972812
Poland,2020-05-01,237,20,12877,644,37972812
Poland,2020-05-04,318,14,13693,678,37972812
Poland,2020-05-05,313,20,14006,698,37972812
Poland,2020-05-06,425,18,14431,716,37972812
Poland,2020-05-07,309,17,14740,733,37972812
Poland,2020-05-08,307,22,15047,755,37972812
Poland,2020-05-09,319,21,15366,776,37972812
Poland,2020-05-11,345,15,15996,800,37972812
Poland,2020-05-13,595,28,16921,839,37972812
Poland,2020-05-14,283,22,17204,861,37972812
Poland,2020-05-15,411,22,17615,883,37972812
Poland,2020-05-16,401,24,18016,907,37972812
Poland,2020-05-21,471,14,19739,962,37972812
Poland,2020-05-27,443,17,22074,1024,37972812
Poland,2020-06-03,230,18,24395,1092,37972812
Poland,2020-06-04,292,23,24687,1115,37972812
Poland,2020-06-06,371,20,25419,1137,37972812
