countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019,death_percentage,percent_pop_sick
Poland,2020-04-03,392,14,2946,57,37972812,1.9348268839103868,0.0077581823542591478
Poland,2020-04-04,437,14,3383,71,37972812,2.0987289388117056,0.0089090057381054633
Poland,2020-04-06,475,15,4102,94,37972812,2.2915650901999025,0.010802465722053978
Poland,2020-04-08,435,22,4848,129,37972812,2.6608910891089108,0.012767029210267598
Poland,2020-04-09,357,30,5205,159,37972812,3.054755043227666,0.013707175544439534
Poland,2020-04-10,370,15,5575,174,37972812,3.1210762331838566,0.014681556899183554
Poland,2020-04-12,401,27,6356,208,37972812,3.2724984266834483,0.016738291596629717
Poland,2020-04-13,318,24,6674,232,37972812,3.4761762061732093,0.017575732869085387
Poland,2020-04-15,268,18,7202,263,37972812,3.6517633990558176,0.018966201396936312
Poland,2020-04-16,380,23,7582,286,37972812,3.7720917963597991,0.01996691738288963
Poland,2020-04-17,336,28,7918,314,37972812,3.9656478908815358,0.020851760991522042
Poland,2020-04-18,461,18,8379,332,37972812,3.9622866690535865,0.022065787490270671
Poland,2020-04-19,363,15,8742,347,37972812,3.969343399679707,0.023021734603168184
Poland,2020-04-21,306,20,9593,380,37972812,3.9612217241738765,0.025262811719079431
Poland,2020-04-22,263,21,9856,401,37972812,4.068587662337662,0.025955412519883963
Poland,2020-04-23,313,25,10169,426,37972812,4.1892024781197756,0.026779686476734985
Poland,2020-04-24,342,28,10511,454,37972812,4.3192845590333935,0.02768033086409297
Poland,2020-04-25,381,40,10892,494,37972812,4.5354388542049211,0.028683680313167224
Poland,2020-04-26,381,30,11273,524,37972812,4.6482746385168108,0.029687029762241468
Poland,2020-04-28,285,27,11902,562,37972812,4.7218954797513017,0.0313434780653063
Poland,2020-04-29,316,34,12218,596,37972812,4.8780487804878048,0.032175652411520116
Poland,2020-04-30,422,28,12640,624,37972812,4.9367088607594933,0.03328697384855249
Poland,2020-05-01,237,20,12877,644,37972812,5.001164867593384,0.033911104608212846
Poland,2020-05-04,318,14,13693,678,37972812,4.9514350398013587,0.03606001051489155
Poland,2020-05-05,313,20,14006,698,37972812,4.9835784663715552,0.036884284471742572
Poland,2020-05-06,425,18,14431,716,37972812,4.9615411267410439,0.038003506298137729
Poland,2020-05-07,309,17,14740,733,37972812,4.9728629579375845,0.038817246402505036
Poland,2020-05-08,307,22,15047,755,37972812,5.0176114840167481,0.039625719580630478
Poland,2020-05-09,319,21,15366,776,37972812,5.0501106338669794,0.040465794316207081
Poland,2020-05-11,345,15,15996,800,37972812,5.0012503125781445,0.042124876082392841
Poland,2020-05-13,595,28,16921,839,37972812,4.958335795756752,0.0445608294692529
Poland,2020-05-14,283,22,17204,861,37972812,5.0046500813764245,0.045306099532476024
Poland,2020-05-15,411,22,17615,883,37972812,5.0127732046551232,0.04638845287517817
Poland,2020-05-16,401,24,18016,907,37972812,5.034413854351687,0.047444471586671012
Poland,2020-05-21,471,14,19739,962,37972812,4.8736004863468265,0.051981928544033024
Poland,2020-05-27,443,17,22074,1024,37972812,4.6389417414152394,0.058131064931404082
